Ph,Consumption,N1,N2,N3,Class
8,750,L,L,M,Bajra
8.5,750,M,VL,VL,Banana
8,1100,VL,VL,M,Barley
6.5,500,L,VL,M,Bean
6.5,2500,H,VL,M,Black pepper
7,700,L,H,VL,Blackgram
7.5,650,VL,VL,VL,Bottle Gourd
6.5,1000,VL,L,M,Brinjal
6.5,600,M,VL,H,Cabbage
7,4000,H,M,M,Cardamom
7,1000,M,H,M,Carrot
8.5,800,VL,H,VL,Castor seed
7,300,M,M,M,Cauliflower
7,1500,VL,VL,L,Chillies
10,1000,L,L,M,Coriander
8,1100,M,VL,VL,Cotton
7,1100,VL,VL,VL,Cowpea
7,2000,M,L,H,Drum Stick
7,800,VL,M,H,Garlic
7,1800,VL,M,VL,Ginger
7,900,VL,VL,H,Gram
8.5,850,VL,H,L,Grapes
7,750,VL,VL,VL,Groundnut
8,300,L,L,L,Guar seed
8.2,1000,M,M,VL,Horse-gram
7.5,1000,VL,M,M,Jowar
7.5,600,H,L,L,Jute
8,700,VL,M,M,Khesari
7,1200,VL,L,M,Lady Finger
8,750,L,M,M,Lentil
7,750,L,L,M,Linseed
7.5,1000,VL,VL,VL,Maize
7.8,900,M,VL,M,Mesta
7.2,900,VL,L,VL,Moong(Green Gram)
9,750,M,M,L,Moth
7.5,800,H,L,VL,Onion
8,700,VL,L,M,Orange
7,2500,VL,H,VL,Papaya
7.5,600,M,M,VL,Peas & beans (Pulses)
6.4,600,VL,VL,VL,Potato
7.5,1000,VL,VL,VL,Raddish
7,1200,VL,M,VL,Ragi
9,2000,M,M,VL,Rice
8,1000,M,M,L,Safflower
7,1000,VL,M,M,Sannhamp
8,800,VL,L,M,Sesamum
7,700,M,M,M,Soyabean
8.5,1800,VL,H,L,Sugarcane
7.5,700,L,L,L,Sunflower
6.5,1500,L,M,L,Sweet potato
7,1500,L,M,L,Tapioca
7.5,600,M,M,VL,Tomato
7.5,2000,M,VL,VL,Turmeric
7.5,1000,L,L,L,Urad
6.5,1800,VL,M,M,Varagu
6.8,900,VL,L,VL,Wheat
